"LabID","Date","Collar","AnimalID","DeviceID","Sex","Time","Lat","Long","Location","Age","Temp","Eartag1","Eartag2","Type","Comments","Capture Notes","Fate","Cause","CollarType"
140048.00,2/22/2014 0:00:00,150.36,"140360",34913.00,"Female ",12/30/1899 9:49:00,46.43,-113.95,"Burnt Fork",3.00,103.70,1721.00,1722.00,"Hobbled",,"Darted but did not go down.  Dart did not fire, so was netgunned.  Reversal administered anyway.","Dead","Harvest","IridiumTrack M 3D"
140038.00,2/21/2014 0:00:00,150.38,"140380",34914.00,"Female",12/30/1899 15:00:00,46.70,-114.09,"Ski Hill",6.00,102.70,1702.00,1701.00,"Darted","No drop",,"Alive - OnAir",,"IridiumTrack M 3D"
140030.00,2/20/2014 0:00:00,150.40,"140400",34915.00,"Female",12/30/1899 10:56:00,46.68,-114.00,"MPG",,102.40,2134.00,2135.00,"Hobbled",,,"Alive - OffAir",,"IridiumTrack M 3D"
140023.00,2/20/2014 0:00:00,150.48,"140480",34916.00,"Female",12/30/1899 10:02:00,46.67,-114.01,"MPG",6.00,100.50,2096.00,2097.00,"Hobbled","No drop",,"Alive - OnAir",,"IridiumTrack M 3D"
140057.00,2/25/2014 0:00:00,150.56,"140560",2204.00,"Female",12/30/1899 10:00:00,46.80,-114.01,"Miller Creek",10.00,100.10,2016.00,2017.00,"Darted",,,"Alive - OffAir",,"3300L"
140018.00,2/24/2014 0:00:00,150.60,"140600",34917.00,"Female",12/30/1899 10:18:00,46.67,-113.99,"N. Woodchuck",7.00,104.50,2001.00,2056.00,"Darted",,"Darted top rump; Missed dart","Alive - OffAir",,"IridiumTrack M 3D"
140050.00,2/22/2014 0:00:00,150.63,"140630",34918.00,"Female",12/30/1899 13:42:00,46.51,-113.99,"Iron Cap",5.00,102.40,1729.00,1730.00,"Hobbled",,,"Alive - OffAir",,"IridiumTrack M 3D"
140051.00,2/21/2014 0:00:00,150.65,"140650",34919.00,"Female",12/30/1899 14:20:00,46.70,-114.10,"Ski Hill",7.00,102.40,1727.00,1728.00,"Darted",,,"Alive - OffAir",,"IridiumTrack M 3D"
140013.00,2/24/2014 0:00:00,150.68,"140680",34920.00,"Female",12/30/1899 13:56:00,46.79,-114.02,"Miller Creek",10.00,102.10,2010.00,2011.00,"Hobbled",,"1 Missed dart, cow 4","Alive - OffAir",,"IridiumTrack M 3D"
140049.00,2/21/2014 0:00:00,150.71,"140710",34921.00,"Female",12/30/1899 12:20:00,46.71,-114.02,"MPG North",4.00,105.70,1723.00,1724.00,"Hobbled",,"Darted, but dart glanced off","Alive - OffAir",,"IridiumTrack M 3D"
140022.00,2/20/2014 0:00:00,150.80,"140800",34922.00,"Female",12/30/1899 11:18:00,46.68,-114.00,"MPG",10.00,102.00,2094.00,2095.00,"Hobbled",,"No fecal","Alive - OffAir",,"IridiumTrack M 3D"
140055.00,2/25/2014 0:00:00,150.85,"140850",34923.00,"Female",12/30/1899 10:40:00,46.80,-114.01,"Miller Creek",4.00,105.20,2065.00,2066.00,"Darted",,"Banamine, 6cc","Alive - OffAir",,"IridiumTrack M 3D"
140021.00,2/20/2014 0:00:00,150.89,"140890",34924.00,"Female",12/30/1899 12:00:00,46.67,-114.00,"MPG",8.00,101.70,2092.00,2093.00,"Hobbled",,,"Alive - OffAir",,"IridiumTrack M 3D"
140073.00,2/25/2014 0:00:00,150.90,"140900",34925.00,"Female",12/30/1899 12:00:00,46.74,-114.01,"S. Miller Creek",7.00,101.30,2047.00,2048.00,"Darted",,,"Dead","Harvest","IridiumTrack M 3D"
140016.00,2/24/2014 0:00:00,150.91,"140910",3518.00,"Female",12/30/1899 13:00:00,46.80,-114.00,"Miller Creek",4.00,101.70,2004.00,2005.00,"Darted",,,"Alive - OffAir",,"3300L"
140044.00,2/20/2014 0:00:00,150.92,"140920",34926.00,"Female",12/30/1899 16:00:00,46.43,-113.93,"Burnt Fork",9.00,104.00,1713.00,1714.00,"Hobbled","Injured, possible predation",,"Dead","Unknown","IridiumTrack M 3D"
